id,word_1,word_2,word_3
1,just,engineers,combat
2,shop,roshen,shopping
3,lesi,lkafa,restaurant
4,bus,central,metro
5,eod,disposed,by
6,cleared,with,abandoned
7,franko,store,street
8,800,landmines,several
9,damaging,substation,power
10,pump,electric,discovered
11,substation,power,attack
12,lukyanovska,metro,station
13,500,plastic,gr
14,600,gr,detonators
15,wired,command,800
16,electrical,towers,four
17,any,without,but
18,electrical,crimea,towers
19,ammunition,detonators,explosives
20,plastic,kg,found
21,kreshatyk,teatralna,stations
22,threat,restaurants,mcdonalds
23,ammunition,along,weapons
24,central,metro,station
25,van,400,of
26,polling,suitcase,front
27,streets,atlantic,lviv
28,central,railway,station
29,detonated,an,was
30,plastic,detonators,seized
31,civilian,on,affected
32,ammunition,grenades,along
33,rockets,cache,with
34,artillery,rounds,protected
35,improvised,killed,grenade
36,caches,two,discovered
37,container,garbage,inside
38,ammo,for,search
39,hidden,roof,house
40,club,night,used
41,ammunition,detonation,tons
42,militant,dnr,100
43,rockets,grenades,explosives
44,monastery,pokrovsky,university
45,several,detonators,kg
46,detonators,tnt,found
47,400,grenades,gr
48,than,20,more
49,injuries,caused,soldier
50,landmines,weapons,kg
51,apartment,inside,detonation
52,khmelnytsky,boulevard,call
53,ammunition,discovered,search
54,cord,detonating,20
55,black,powder,vehicle
56,along,weapons,kg
57,parking,area,detonated
58,caf_,blown,up
59,munitions,search,detonators
60,discovered,weapons,detonators
61,explosives,found,åking
62,explosives,gunpowder,fact
63,with,11,electric
64,own,emplacer,school
65,poland,consulate,emplaced
66,uzlovy,kupiansk,railroad
67,along,plastic,some
68,enlistment,200,equivalent
69,dealers,arms,detained
70,weapons,explosives,found
71,city,center,call
72,emplace,point,check
73,soldier,killed,one
74,possession,dealer,arms
75,detonators,seized,explosives
76,detonators,seized,explosives
77,hours,southern,vzryvpaket
78,confirmed,not,central
79,claimed,security,sbu
80,central,railway,station
81,withy,protecting,missiles
82,compartment,competition,combat
83,corpses,soldiers,ukrainian
84,blow,were,trying
85,complete,explosives,other
86,ordnance,cord,detonating
87,ammunition,discovered,cache
88,large,discovered,cache
89,triggering,wounded,women
90,bags,white,foundation
91,area,residential,detonated
92,as,phone,mobile
93,weapons,explosives,found
94,headquarters,unit,guard
95,cache,explosives,found
96,discovered,cache,weapons
97,ssu,services,emergency
98,lysychansk,artemivsk,discovered
99,grenade,homemade,street
100,investigation,another,discovered
101,persons,affecting,two
102,discovered,cache,inside
103,business,thrown,grenade
104,causing,dead,result
105,guard,tbc,possible
106,arsenalnaya,near,metro
107,33,abandoned,factory
108,cache,weapons,with
109,sell,20,trying
110,600,ammo,cache
111,gr,18x200,wit
112,suspect,weapons,detained
113,victory,sberbank,avenue
114,stavropol,moscow,pipeline
115,laboratory,complete,components
116,tatp,dismantled,manufacturing
117,suspects,ieds,detention
118,home,munitions,flash
119,munitions,plastic,search
120,youth,volunteers,devices
121,mezhevaya,possesion,flash
122,independence,square,metro
123,4x400,failed,second
124,schemes,components,suspects
125,novoznerenska,kindergarten,roof
126,backpack,guy,vokzalnaya
127,urdenbelly,krasnov,100
128,laying,while,suspects
129,seize,arsenal,some
130,driver,the,died
131,kiosk,roof,grenade
132,modified,bag,grenade
133,equipment,and,fuzes
134,novomoskov,station,cache
135,bikini,bar,detonated
136,radioactive,uranium,238
137,shooting,detentions,cord
138,sumy,street,call
139,defences,kanatnaya,ngo
140,site,same,shipilova
141,rymarska,street,call
142,prosecutors,general,ukraine
143,black,500,possesion
144,batallion,members,donbass
145,forest,soldier,ukrainian
146,dorohozhychi,metro,station
147,each,groups,criminal
148,philharmonic,hall,caller
149,done,patrols,rocket
150,pressure,plate,gas
151,bussinesmen,are,instead
152,0,am,richelieu
153,pavlova,akademika,car
154,as,booster,62m
155,plus,15,his
156,khrarkov,migration,sites
157,of,50,explosives
158,governmental,facilities,call
159,pasazhyrskiy,lay,station
160,involved,manufacturer,odessa
161,police,attack,secondary
162,entrance,plugova,blew
163,attacked,head,secretary
164,1200,blocks,police
165,all,sites,around
166,batteries,pieces,mechanical
167,lie,bakery,threated
168,stop,bus,cilinder
169,kalmius,affected,river
170,svyatoshinsky,water,ammunition
171,zhytomyr,chernivtsi,servicemen
172,grenadesä,10,plus
173,st,cosmonauts,petrov
174,varvarovskogo,ingul,to
175,ieds,protected,found
176,political,party,office
177,rymarska,street,call
178,650,angelov,caf_
179,darnitsky,about,district
180,grams,400,of
181,locomotive,railroad,damaged
182,oleksiivska,university,night
183,identified,caller,pipeline
184,rymarska,street,call
185,for,components,group
186,private,kilos,hundred
187,portion,railway,blown
188,peoples,biskvitny,kivalov
189,suspects,detention,some
190,open,voied,abandoned
191,cahrge,vog,25
192,police,car,chuprinky
193,parents,25,detentions
194,central,railway,station
195,court,district,call
196,street,akhmatova,kurenivka
197,popasna,troyitske,between
198,evidence,hoax,62m
199,it,tripwire,landmine
200,sdovoba,local,party
201,liberty,suspicious,square
202,detntion,durig,suspects
203,svobody,universytet,derzhprom
204,governor,residence,used
205,soldier,killed,due
206,shells,artillery,used
207,crossing,krasnova,admiralsky
208,attack,bridge,railway
209,st,velika,equ
210,370,while,transporting
211,skotovataya,yasinovataya,stations
212,12,of,suspects
213,quantities,rockets,control
214,universytet,derzhprom,metro
215,pipeline,urengoy_pomary_uzhgorod,ukrtransgaz
216,boat,leaving,wbied
217,khrestchatyk,rada,council
218,fridge,sides,total
219,kupyansk,svyatogorsk,62
220,mon,with,mines
221,spm,62,depot
222,svobody,universytet,derzhprom
223,lenins,avenue,suspicious
224,command,residential,area
225,240,elements,criminal
226,civilians,died,two
227,the,fiherman,jun
228,schevchenko,boulevard,suspicious
229,projectile,forces,mm
230,trolleybus,against,call
231,obolon,minskaya,roshen
232,dniprovskyi,area,residential
233,soldiers,improvised,affected
234,vovcha,lay,detainees
235,person,killed,due
236,parked,suspicious,state
237,mozgovoy,ghost,alexey
238,ilyicha,club,night
239,¾two,men,with
240,arts,palace,national
241,cord,detonating,of
242,selling,17,accused
243,shipilovo,sentanovka,stations
244,house,window,ilyenko
245,emplaced,woman,injured
246,barabashova,akademika,metro
247,nyh,peresado,metro
248,thermal,power,close
249,alekseevskaya,communications,box
250,seat,driver,died
251,suburb,the,city
252,almost,detention,during
253,maloskova,affected,bridge
254,platform,solontsevaty,lane
255,artyom,died,man
256,zhulyany,international,airport
257,kulikovo,field,unionsê
258,fuel,blow,civilian
259,19,blocks,check
260,control,vehicle,400
261,court,kiev,district
262,atgm,composed,grenade
263,ceremony,detection,complex
264,dormitory,sergeant,drunk
265,fuze,van,block
266,nuclear,plant,power
267,fortification,blow,guy
268,supplying,shirokolanovsky,gas
269,vokzalnaya,metro,station
270,guys,and,were
271,18,rockets,found
272,roof,restaurant,blown
273,170,1168,km
274,poltova,bridges,kharkiv
275,seized,operation,another
276,akardzha,kseniyevo,movement
277,levada,train,station
278,åking,cross,leopolis
279,searched,ammo,improvised
280,school,call,against
281,ploshchad,kontraktovaya,pochtovaya
282,electromechanical,plan,culture
283,locomotives,shunting,shipylove
284,club,plant,against
285,women,transporting,blocks
286,food,store,detonation
287,arkhangelkaya,flat,street
288,trains,volnovakha,freight
289,admiralskaya,dec,suspets
290,owner,officer,security
291,shopping,center,call
292,cultural,engineers,power
293,street,danilevskoge,prosvity
294,railways,arrested,attacks
295,darnitsa,metro,station
296,due,car,to
297,49,kg,severodonetsk
298,arsenalyana,nezalezhnosty,stations
299,khreschatik,metro,station
300,preparing,while,attacks
301,tolstogo,lva,ploshcha
302,inert,sidorov,training
303,teatralnaya,metro,station
304,vokzalnaya,train,station
305,barabashova,akademika,metro
306,nyh,peresado,metro
307,thermal,power,close
308,cars,one,editor
309,obolonsky,centres,arsenalnaya
310,vesty,editorial,radio
311,donbasskaya,yelenovka,yuzhno
312,naftogaz,companies,jsc
313,40,suspects,detention
314,underground,tolstoy,lev
315,passat,vw,parked
316,car,burn,kurchatova
317,rocket,launchers,sbu
318,car,its,trunk
319,searches,instructions,detentions
320,kharkiv,components,attacks
321,pole,pravdy,has
322,zmiev,zhikhor,between
323,targeting,underground,schools
324,south,station,call
325,shterivka,shchotove,55
326,packages,ammo,carrying
327,robbed,atm,privatbankê
328,by,caused,vehicles
329,pobeda,disosed,ukrainka
330,borshchagovskaya,russiaê,offices
331,components,electronics,timers
332,road,viaduct,dnipropetrovsk
333,samarovka,fuse,novomoskovsk
334,osnova,at,under
335,fuel,tank,detonated
336,street,staportofrankivska,olhivska
337,mezhevsky,region,pokrovsky
338,april,executors,planners
339,truck,radar,defense
340,discovered,sbu,operation
341,prosyana,infrastructure,demarino
342,geranevaya,residential,house
343,attack,that,this
344,railroad,blown,up
345,see,electricians,previous
346,next,like,repairing
347,road,connecting,21st
348,switches,phones,using
349,¾close,look,to
350,bridge,railway,blown
351,railway,blown,up
352,house,of,search
353,airport,lviv,call
354,detonators,and,cache
355,control,point,check
356,3kg,march,business
357,ready,dam,be
358,taxi,plastic,search
359,extinguisher,mil,using
360,taxi,bottle,litre
361,bomb,car,blown
362,samopomich,admiralteisky,bussines
363,rodakovo,51,krasny
364,lisichansk,kharkov,blew
365,containing,suitcase,civilian
366,bridge,railway,blown
367,mariupol,kq,expl
368,brigade,partisan,chief
369,poznanskaya,minibus,blew
370,gvardeytsev,shironintsev,culture
371,located,kherson,courier
372,containing,package,eod
373,magnetically,yangolenko,andrey
374,sector,right,koblevskaya
375,36,pf,16
376,cutting,policemen,escaped
377,4th,floor,building
378,in,cafeteria,zhukovskoho
379,marshal,bearings,sports
380,office,yevgeny,euromaidan
381,power,provided,substation
382,press,away,aleksandr
383,attack,16th,previous
384,homemade,ieds,barrel
385,bashirli,ruslan,street
386,hostel,at,sited
387,commander,dmytro,zaharia
388,otakar,minor,company
389,transporting,when,man
390,rairoad,tracks,laying
391,sell,while,trying
392,hexogen,31-Dec-14,30
393,rail,tracks,detonator
394,severe,marshala,priviatbank
395,circuit,board,doroga
396,ieds,some,weapons
397,thrown,grenade,homemade
398,car,old,tyre
399,karachuny,schools,suspected
400,archive,official,mayors
401,balashovsky,kharkiv,near
402,walking,600,under
403,equipment,derailed,transporting
404,bridge,putilovsky,volnovakha
405,trial,case,svodoba
406,police,man,called
407,nearest,arkhitektora,cars
408,some,fuses,point
409,street,nechypurenka,troitskaya
410,jar,allocated,present
411,nikolayeva,arkhitektora,detonation
412,diamantbank,troitskaya,close
413,controlled,over,road
414,pass,at,vehicle
415,weaponry,sbu,several
416,two,substance,new
417,street,gimnazicheskaya,arnautskaya
418,coordination,euro,maydan
419,port,river,call
420,peresyp,station,tank
421,drunk,he,store
422,azure,flat,door
423,simferopol,suspected,airport
424,throwing,manuals,flat
425,antiterrorism,bin,garbage
426,duties,revenue,yard
427,troeshchina,gas,district
428,sedegskaya,he,carrying
429,money,currency,himself
430,some,too,munition
431,balta,electrical,odessa
432,roadside,vehicle,affected
433,azhur,rymarskaya,store
434,malinovsky,court,district
435,24,three,detainees
436,sapernoye,pole,hostel
437,zastava,pass,freight
438,1260,kalchik,across
439,point,check,detonated
440,zhukovskogo,public,caused
441,inside,garage,quantities
442,car,transported,emplaced
443,tamper,fragmentation,included
444,apostolovo,council,thrown
445,bag,contained,seen
446,canadian,embassy,call
447,severin,dalias,admiralsky
448,insurgent,army,memorial
449,damaged,beam,network
450,heating,zmievskaya,power
451,central,railway,station
452,shop,souvenir,patriot
453,proskura,gate,base
454,prosecutorês,pirogovskaya,south
455,supermarkets,kyivgorstroy,centre
456,klovskaya,embassy,school
457,yuzny,atb,supermarket
458,state,regional,administration
459,outer,fence,victory
460,council,city,call
461,railway,osnova,station
462,council,city,call
463,trinkler,transformer,beside
464,service,ukrainian,central
465,energy,corporation,uzd
466,plaza,mall,ave
467,metro,darnitsa,teatralnaya
468,polish,bussines,ukrainian
469,krasnoarmeyskaya,railway,station
470,vorota,zolotye,metro
471,entertainment,ticketing,darnitsa
472,frankovsk,ivano,rovno
473,imeny,malysheva,zavod
474,elections,mcdonalds,commission
475,his,call,reporting
476,train,central,station
477,station,eskhar,cargo
478,pub,stina,package
479,kreshchatik,maidan,nezalezhnosty
480,fiscal,department,service
481,buildings,teatralnaya,regional
482,opening,trunk,driver
483,regional,administration,building
484,house,suspect,search
485,terrorism,11,of
486,supermarket,administration,building
487,wagon,train,man
488,detention,seized,in
489,train,central,station
490,poltava,basis,railroad
491,people,member,party
492,transport,vehicle,military
493,platoon,daisy,chain
494,2014,malyshev,FALSE
495,universitet,vokzalnaya,stations
496,sentyanivka,luhansk,kiev
497,peresip,odessa,damaged
498,office,lawyer,brusnichka
499,syretz,universitet,stations
500,state,regional,administration
501,state,regional,administration
502,post,universitet,central
503,15,control,road
504,ukrinform,news,khreshchatyk
505,airport,lviv,call
506,enlistement,police,military
507,election,commission,channel
508,behind,there,explosives
509,stryiskyi,facility,guard
510,state,regional,administration
511,calls,central,metro
512,precursors,group,detention
513,blow,detainees,trying
514,bridge,pavlopolsky,road
515,tolstoy,lev,channel
516,election,lev,commission
517,tsvk,calls,building
518,darnitsya,nivki,calls
519,delay,time,attached
520,damaging,steel,supports
521,jewelry,inside,detonation
522,posts,ustiluk,custom
523,vokzalnaya,calls,stations
524,steel,damaging,supports
525,levoberezhnaya,metro,station
526,vokzalnaya,metro,station
527,university,odessa,call
528,intourist,yalta,conference
529,damaged,detonation,railway
530,teatralna,metro,station
531,police,detonation,station
532,railroad,attack,against
533,church,lutheran,detainee
534,prepared,apartment,they
535,august,repair,guy
536,office,kolomoisky,privatbank
537,vokzalna,poshtova,ploshcha
538,fuze,base,safety
539,loading,29,civilian
540,arsenalnaya,metro,station
541,112,ukraine,channel
542,russian,bank,office
543,guards,missiles,rcied
544,director,aimed,people
545,petrovka,metro,station
546,homemade,grenades,seized
547,attacker,part,dead
548,bridge,village,districts
549,calls,stations,two
550,militia,dnr,patrol
551,sabotage,repair,plant
552,stopped,loaded,attempt
553,bus,inside,blown
554,bridge,partial,slightly
555,hotels,hostel,restaurant
556,children,killing,injuring
557,pechersky,alarms,podolsky
558,bridge,nikitovsky,kalinin
559,schools,discovered,ieds
560,points,bridges,railways
561,gas,parallel,tanks
562,bridge,perevalska,city
563,cardiology,tyumen,hospital
564,incident,suicide,officials
565,demolition,borova,rubizhne
566,saltov,market,emergency
567,novobahmutovka,track,gorlovka
568,bratislava,khreschatyk,express
569,krasnoslabodskaya,pryvatbank,attacks
570,yadov,sergey,pryvatbank
571,advancing,defending,missidentified
572,buildings,eod,laid
573,via,chuguev,starobelsk
574,road,bridge,plotva
575,road,dzerzhinsk,horlivka
576,explosion,damaged,bridge
577,railroad,bridge,blown
578,tax,public,administration
579,mines,charges,material
580,clinic,shtabnoy,psychoneurological
581,bridges,zujevske,demolitions
582,tepla,horodnia,river
583,least,meter,contact
584,mid,9,support
585,partially,20,over
586,artemovsk,488,gorlovka
587,dolzhansky,675,kazenyi
588,motorway,amvrosiivka,from
589,landmines,homemade,grenades
590,vbied,lack,means
591,bila,river,over
592,administrative,facilities,channel
593,crater,depth,floors
594,commissariat,suvorovsky,close
595,siversky,donets,over
596,conecting,lisichansk,seversky
597,economic,court,building
598,their,family,driving
599,staff,militia,building
600,rostov,koznyi,toretz
601,fountatin,steree,zabolotny
602,different,four,points
603,tower,supporting,karachun
604,later,guys,guy
605,explosion,railroad,damaged
606,adler,kiev,affected
607,horodna,explosions,damaged
608,kulbakino,preparing,wearing
609,bridge,20kg,zheleznodorozhny
610,dnieper,river,over
611,strecht,kondarshevskaya,ogorodny
612,ammonite,96,stolen
613,most,firing,according
614,railroad,martsevo,ilovajick
615,kuteinikovo,vans,mospino
616,22,connection,schemes
617,yenakiyevo,shakhtersk,58
618,2nd,detainee,airfield
619,voied,exchange,potential
620,pipeline,uzghorod,pomary
621,estimated,destruction,meters
622,pedestrian,luhansk,destroyed
623,hq,presidential,activating
624,followed,shooting,beside
625,773,highway,km
626,ammonite,720,360
627,car,parliament,limpet
628,uxo,shell,raisins
629,affected,explosion,railway
630,donetsk,krasnohorlivka,kurakhovo
631,grammonite,possesion,ammonite
632,57,km,affected
633,destroyed,explosion,railroad
634,registry,criminal,group
635,scene,hp,remnants
636,pipe,pryvatbank,bomb
637,small,arsenalna,borne
638,detention,during,home
639,clashes,officials,thrown
640,perimetral,00l,defenses
641,incendiary,activist,devices
642,surveillance,consecutive,helicopter
643,yet,totally,passing
644,palace,kharkov,hotel
645,occupied,building,ieds
646,lake,donuzlav,trawler
647,deputys,thrown,homemade
648,crimean,confiscated,transported
649,building,external,to
650,victim,union,given
